"sample_no","author","year","n","pj_pj","pj_si","si_si","pj_le","si_le","le_le","pjxsi_le","published","place","region","demq_group","demq","demin_group","demin","hdi","si_measure","design","period","mean_age","male_percent","minority_percent"
1,"Akinlabi_a",2017,305,1,NA,1,0.14,NA,1,NA,1,"Nigeria",3,"3","0.503","3",4.11,0.535,NA,"C",NA,15.14,0.56,0.45
2,"Akinlabi_b",2018,600,1,NA,1,0.07,NA,1,NA,1,"Nigeria",3,"3","0.503","3",4.11,0.535,NA,"C",NA,32.7,0.49,0.27
3,"Aksu",2014,500,1,NA,1,0.57,NA,1,NA,0,"Turkey",3,"4","0.28999999999999998","3",4.35,0.838,NA,"C",NA,14.58,0.48,NA
4,"Aviv",2016,3826,1,NA,1,0.56,NA,1,NA,1,"Israel",3,"1","0.82099999999999995","2",7.97,0.919,NA,"C",NA,43.9,NA,NA
5,"Baz",2018,2041,1,NA,1,0.57,NA,1,NA,1,"Spain",2,"1","0.91200000000000003","2",7.94,0.905,NA,"C",NA,15.33,0.49,0.18
6,"Bello",2021,482,1,NA,1,0.28,NA,1,NA,1,"South Africa",3,"2","0.72","2",7.05,0.713,NA,"C",NA,23,0.22,0.08
7,"Blount-Hill",2020,807,1,NA,1,0.42,0.46,1,NA,0,"USA",1,"2","0.81100000000000005","2",7.85,0.921,2,"C",NA,38,NA,0.84
8,"Boateng_a",2021,251,1,NA,1,0.09,NA,1,NA,1,"Ghana",3,"2","0.68200000000000005","2",6.5,0.632,NA,"C",NA,29,0.55,NA
9,"Boateng_b",2022,3627,1,NA,1,0.2,NA,1,NA,1,"South Africa and Sierra Leone",3,"2","NA","NA",NA,NA,NA,"C",NA,NA,0.42,NA
10,"Bradford_a",2014,3183,1,NA,1,0.42,NA,1,NA,1,"South Africa",3,"2","0.72","2",7.05,0.713,NA,"C",NA,40.56,0.6,0.43
11,"Bradford_b",2017,1004,1,0.38,1,0.68,0.47,1,-0.15,1,"UK",2,"1","0.89200000000000002","1",8.1,0.929,1,"C",NA,NA,0.47,0.12
12,"Bradford_c",2014,1023,1,0.46,1,0.71,0.83,1,0.39,1,"Australia",3,"1","0.90400000000000003","1",8.9,0.951,1,"L","2 years",56,0.46,0.56
13,"Bradford_d",2020,1092,1,NA,1,0.47,NA,1,NA,1,"UK",2,"1","0.89200000000000002","1",8.1,0.929,NA,"C",NA,NA,0.44,0.27
14,"Brown",2019,525,1,NA,1,0.47,NA,1,NA,0,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"E",NA,NA,0.32,0.61
15,"Buzarovska",2014,487,1,NA,1,0.3,NA,1,NA,1,"North Macedonia",2,"2","0.58199999999999996","2",6.03,0.77,NA,"C",NA,NA,0.32,NA
16,"Cavanagh",2020,417,1,NA,1,0.53,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,15.43,NA,1
17,"Chenane",2022,449,1,NA,1,0.29,NA,1,NA,1,"USA",1,"2","0.81100000000000005","2",7.85,0.921,NA,"C",NA,39.46,0,1
18,"Cherney",2013,302,1,0.27,1,0.59,0.37,1,NA,1,"Australia",3,"1","0.90400000000000003","1",8.9,0.951,1,"C",NA,38.94,0.54,1
